,1Salon,Area util_s1,Bloque_s1,Capacidad_s1,Ext_s1,Fijo/Movil_s1,Movil Express_s1,Tipo Mobiliario_s1
161,LL_205,"51,2",LL,32.0,5087.0,Fijo,Si,Silla móvil y mesa fija
162,O_302,"64,2",O,56.0,5262.0,Fijo,No,Silla móvil y mesa fija
163,B_203,"88,6",B,53.0,1441.0,Fijo,No,Silla móvil y mesa fija
164,O_204,"70,6",O,62.0,5259.0,Fijo,No,Silla móvil y mesa fija
165,AU_304,"37,1",Au,28.0,5622.0,Movil,No,Pupitre universitario
166,G_101,"120,6",G,84.0,5501.0,Fijo,No,Silla móvil y mesa fija
167,Q_405,"114,9",Q,70.0,nan,Fijo,SI,Silla móvil y mesa fija
168,AU_207,"42,5",Au,30.0,5614.0,Movil,SI,"Silla móvil, mesa móvil"
169,AU_302,"37,0",Au,31.0,5620.0,Movil,No,Pupitre universitario
170,AU_207,"42,5",Au,30.0,5614.0,Movil,SI,"Silla móvil, mesa móvil"
171,AU_309,"42,5",Au,28.0,5627.0,Movil,Si,"Silla móvil, mesa móvil"
172,ML_119,"16,3",ML,10.0,nan,Movil,SI,"Silla móvil, mesa móvil"
173,SD_207,"58,2",Sd,24.0,nan,Movil,Si,"Silla móvil, mesa móvil"
174,,,,,,,,
175,,,,,,,,
176,,,,,,,,
177,,,,,,,,
178,,,,,,,,
179,,,,,,,,
180,,,,,,,,
181,,,,,,,,
182,,,,,,,,
183,,,,,,,,
184,,,,,,,,
185,,,,,,,,
186,,,,,,,,
187,,,,,,,,
188,,,,,,,,
189,,,,,,,,
190,,,,,,,,
191,ML_607,"125,7",ML,81.0,1624.0,Fijo,Si,Silla móvil y mesa fija
192,SD_803,"140,0",Sd,82.0,1163.0,Fijo,Si,Silla móvil y mesa fija
193,O_104,"94,0",O,121.0,5253.0,Fijo,No,Silla y superficie abatible fijas
194,G_101,"120,6",G,84.0,5501.0,Fijo,No,Silla móvil y mesa fija
195,,,,,,,,
196,,,,,,,,
197,,,,,,,,
198,,,,,,,,
199,,,,,,,,
200,,,,,,,,
201,,,,,,,,
202,,,,,,,,
203,,,,,,,,
204,SD_807,"140,4",Sd,82.0,1114.0,Fijo,Si,Silla móvil y mesa fija
205,SD_802,"140,0",Sd,82.0,1115.0,Fijo,Si,Silla móvil y mesa fija
206,,,,,,,,
207,,,,,,,,
208,,,,,,,,
209,,,,,,,,
210,,,,,,,,
211,,,,,,,,
212,,,,,,,,
213,,,,,,,,
214,,,,,,,,
215,,,,,,,,
216,,,,,,,,
217,,,,,,,,
218,,,,,,,,
219,,,,,,,,
220,,,,,,,,
221,,,,,,,,
222,,,,,,,,
223,,,,,,,,
224,,,,,,,,
225,,,,,,,,
226,,,,,,,,
227,,,,,,,,
228,,,,,,,,
229,,,,,,,,
230,,,,,,,,
231,,,,,,,,
232,,,,,,,,
233,,,,,,,,
234,,,,,,,,
235,,,,,,,,
236,W_102,"133,5",W,87.0,5001.0,Fijo,Si,Silla móvil y mesa fija
237,R_210,"172,8",R,192.0,nan,Fijo,No,Silla y superficie abatible fijas
238,SD_804,"144,8",Sd,82.0,1118.0,Fijo,Si,Silla móvil y mesa fija
239,O_103,"94,0",O,121.0,5252.0,Fijo,No,Silla y superficie abatible fijas
240,O_102,"94,0",O,121.0,5251.0,Fijo,No,Silla y superficie abatible fijas
241,O_102,"94,0",O,121.0,5251.0,Fijo,No,Silla y superficie abatible fijas
242,G_101,"120,6",G,84.0,5501.0,Fijo,No,Silla móvil y mesa fija
243,SD_802,"140,0",Sd,82.0,1115.0,Fijo,Si,Silla móvil y mesa fija
244,SD_806,"140,4",Sd,82.0,1164.0,Fijo,Si,Silla móvil y mesa fija
245,,,,,,,,
246,,,,,,,,
247,,,,,,,,
248,,,,,,,,
249,,,,,,,,
250,,,,,,,,
251,,,,,,,,
252,,,,,,,,
253,,,,,,,,
254,,,,,,,,
255,,,,,,,,
256,,,,,,,,
257,,,,,,,,
258,,,,,,,,
259,,,,,,,,
260,,,,,,,,
261,,,,,,,,
262,,,,,,,,
263,,,,,,,,
264,,,,,,,,
265,,,,,,,,
266,,,,,,,,
267,,,,,,,,
268,,,,,,,,
269,,,,,,,,
270,,,,,,,,
271,,,,,,,,
272,,,,,,,,
273,,,,,,,,
274,,,,,,,,
275,,,,,,,,
276,,,,,,,,
277,,,,,,,,
278,,,,,,,,
279,,,,,,,,
280,,,,,,,,
281,,,,,,,,
282,R_209,"172,1",R,192.0,nan,Fijo,No,Silla y superficie abatible fijas
283,,,,,,,,
284,,,,,,,,
285,,,,,,,,
286,,,,,,,,
287,,,,,,,,
288,AU_302,"37,0",Au,31.0,5620.0,Movil,No,Pupitre universitario
289,,,,,,,,
290,,,,,,,,
291,,,,,,,,
292,,,,,,,,
293,,,,,,,,
294,,,,,,,,
295,,,,,,,,
296,,,,,,,,
297,,,,,,,,
298,,,,,,,,
299,,,,,,,,
300,W_204,"82,4",W,42.0,5007.0,Fijo,Si,Silla móvil y mesa fija
301,,,,,,,,
302,,,,,,,,
303,,,,,,,,
304,,,,,,,,
305,,,,,,,,
306,,,,,,,,
307,,,,,,,,
308,,,,,,,,
309,,,,,,,,
310,,,,,,,,
311,,,,,,,,
312,,,,,,,,
313,,,,,,,,
314,S1_003,"75,8",S1,39.0,nan,Movil,No,"Silla móvil, mesa móvil"
315,,,,,,,,
316,,,,,,,,
317,SD_702,"140,0",Sd,65.0,1117.0,Fijo,Si,Silla móvil y mesa fija
318,,,,,,,,
319,,,,,,,,
320,,,,,,,,
321,,,,,,,,
322,,,,,,,,
323,,,,,,,,
324,,,,,,,,
325,W_402,"81,8",W,40.0,5014.0,Fijo,Si,Silla móvil y mesa fija
326,,,,,,,,
327,ML_509,"85,4",ML,61.0,1613.0,Fijo,Si,Silla móvil y mesa fija
328,ML_606,"125,7",ML,81.0,1612.0,Fijo,Si,Silla móvil y mesa fija
329,ML_510,"98,1",ML,69.0,1617.0,Fijo,Si,Silla móvil y mesa fija
330,R_209,"172,1",R,192.0,nan,Fijo,No,Silla y superficie abatible fijas
331,O_302,"64,2",O,56.0,5262.0,Fijo,No,Silla móvil y mesa fija
332,,,,,,,,
333,,,,,,,,
334,,,,,,,,
335,,,,,,,,
336,,,,,,,,
337,,,,,,,,
338,,,,,,,,
339,,,,,,,,
340,,,,,,,,
341,,,,,,,,
342,,,,,,,,
343,,,,,,,,
344,,,,,,,,
345,,,,,,,,
346,,,,,,,,
347,,,,,,,,
348,,,,,,,,
349,,,,,,,,
350,,,,,,,,
351,,,,,,,,
352,,,,,,,,
353,,,,,,,,
354,,,,,,,,
355,,,,,,,,
356,W_504,"82,3",W,42.0,5020.0,Fijo,Si,Silla móvil y mesa fija
357,O_404,"57,8",O,50.0,5270.0,Fijo,No,Silla móvil y mesa fija
358,,,,,,,,
359,,,,,,,,
360,,,,,,,,
361,,,,,,,,
362,,,,,,,,
363,,,,,,,,
364,,,,,,,,
365,,,,,,,,
366,,,,,,,,
367,AU_210,"21,4",Au,18.0,5617.0,Movil,No,Pupitre universitario
368,,,,,,,,
369,S1_003,"75,8",S1,39.0,nan,Movil,No,"Silla móvil, mesa móvil"
370,AU_306,"45,8",Au,32.0,5624.0,Movil,Si,"Silla móvil, mesa móvil"
371,Q_307,"88,1",Q,42.0,1455.0,Fijo,SI,Silla móvil y mesa fija
372,W_403,"81,2",W,42.0,5015.0,Fijo,Si,Silla móvil y mesa fija
373,LL_105,"37,8",LL,38.0,5080.0,Movil,SI,Pupitre universitario
374,,,,,,,,
375,Z_101,"45,2",Z,41.0,nan,Movil,No,Pupitre universitario
376,Z_203,"72,0",Z,40.0,nan,Movil,No,"Silla móvil, mesa móvil"
377,LL_206,"51,2",LL,32.0,5088.0,Fijo,Si,Silla móvil y mesa fija
378,LL_206,"51,2",LL,32.0,5088.0,Fijo,Si,Silla móvil y mesa fija
379,O_401,"57,8",O,50.0,5267.0,Fijo,No,Silla móvil y mesa fija
380,W_504,"82,3",W,42.0,5020.0,Fijo,Si,Silla móvil y mesa fija
381,W_504,"82,3",W,42.0,5020.0,Fijo,Si,Silla móvil y mesa fija
382,W_504,"82,3",W,42.0,5020.0,Fijo,Si,Silla móvil y mesa fija
383,W_504,"82,3",W,42.0,5020.0,Fijo,Si,Silla móvil y mesa fija
