materia,nombre,creditos
ECON-1001B,"INTROD. ECON COLOMBIANA",3
ECON-1001C,"COMPL INTROD. ECON COLOMBIANA",0
ECON-1002A,"MERCADO, LIBERTAD Y ORDEN",3
ECON-1006,"PENSANDO PROBLEMAS",3
ECON-1006C,"COMPL.PENSANDO PROBLEMAS",0
ECON-1110,"ANDES CONTIGO - ACOMPAÑAMIENTO",0
ECON-1300,"TALLER DE EXCEL ECON",1
ECON-1501,"HISTORIA ECONOMICA GENERAL",3
ECON-1502B,"HISTORIA PENSAMIENTO ECONOMICO",3
ECON-1701,"CONT. Y FINANZAS CORPORATIVAS",3
ECON-1701C,"COMPL CONT. Y FINANZAS CORPORA",0
ECON-2101,"MICROECONOMIA 2",4
ECON-2101C,"COMPL MICROECONOMÍA 2",0
ECON-2102,"MICROECONOMIA 3",4
ECON-2102C,"COMPL MICROECONOMÍA 3",0
ECON-2104,"EVAL. ECONOMICA DE PROYECTOS",3
ECON-2105,"TEORIA DE JUEGOS",3
ECON-2105C,"COMPL. TEORIA DE JUEGOS",0
ECON-2106,"TEORIA DEL CONSUMIDOR Y FIRMA",3
ECON-2106C,"COMPL TEORIA DEL CONS Y FIRMA",0
ECON-2107,"INTRODUCCIÓN A LA MICRO",3
ECON-2107C,"COMPL INTRODUCCION A LA MICRO",0
ECON-2201,"MACROECONOMIA 2",4
ECON-2201C,"COMPL MACROECONOMIA 2",0
ECON-2202,"MACROECONOMIA 3",4
ECON-2202C,"COMPL MACROECONOMIA 3",0
ECON-2203,"INTRODUCCIÓN A LA MACRO",4
ECON-2203C,"COMPL INTRODUCCIÓN A LA MACRO",0
ECON-2205,"HACIENDO ECONOMÍA 1",3
ECON-2301,"ECONOMETRIA 1",4
ECON-2501B,"ECONOMIA MARXISTA",3
ECON-2901B,"FUTBOL, ECONOMIA Y SOCIEDAD",3
ECON-3301,"ECONOMETRIA 2",4
ECON-3301C,"COMPL ECONOMETRIA 2",0
ECON-3401,"COMERCIO INTERNACIONAL(INGLÉS)",3
ECON-3402,"TEORIA POLIT.MONETARIA",3
ECON-3501,"HISTORIA ECONOMICA DE COLOMBIA",3
ECON-3502,"HIST.ANALISIS ECONOMICO",3
ECON-3507,"EVOL.CONDICIONES D VIDA EN COL",3
ECON-3508,"SEM DESARROLLO D TERRITOR. COL",3
ECON-3602,"MEMORIA DE GRADO",4
ECON-3609,"SEM. COYUNTURA ECONOMICA",3
ECON-3620,"ECONOMIA SOCIAL",3
ECON-3635,"TEOR.FINANZAS PARA ECONOMISTAS",3
ECON-3665,"SEM REGULACIÓN FINANCIERA",3
ECON-3704,"DERIVADOS FINANCIEROS",3
ECON-3722,"INTR TEO FINANZAS CORPORATIVAS",3
ECON-3727,"SEM POL. DE DESARROLLO Y ELCA.",3
ECON-3730,"SEM TEMAS MONETARIOS-BANCARIOS",3
ECON-3732,"MICROECONOMETRIA FINANCIERA",3
ECON-3739,"SEM SINDICALISMO Y MOV.SOCIALE",3
ECON-3741,"MDOS FINANCIEROS EN COLOMBIA",3
ECON-3744,"SEM.ECON,POL SOC,EQUIDAD,POBRE",3
ECON-3747,"ECON DEL COMPORTAMIENTO Y EXPE",3
ECON-3750,"MACRO Y FINANZAS INTERNACIONAL",3
ECON-3757,"SEM RECURSOS NATUR Y DESARROLL",3
ECON-3761,"SEM ANÁLISIS CONFLICTO ARMADO",3
ECON-3763,"ECO AGRAR DESARRR POSCONFLICTO",3
ECON-3764,"CRIMINALIDAD ECON Y FINANCIERA",3
ECON-4113,"MICRO AVANZ TEORIA DE JUEGOS",4
ECON-4113C,"COMPL MICRO AVANZ TEORIA DE J",0
ECON-4213,"MACROECONOMIA AVANZADA LP",4
ECON-4213C,"COMPL MACROECONOMI AVANZADA LP",0
ECON-4301,"ECONOMETRIA AVANZADA",4
ECON-4600,"SEMINARIO DE TESIS PEG",4
ECON-4643,"RIESGOYVALORACIÓN DE DERIVADOS",4
ECON-4645,"REGULACION Y COMPETENCIA",4
ECON-4645C,"COMPL.REGULACION Y COMPETENCIA",0
ECON-4649,"SEM MINERIA DATOSYAPLICACIONES",4
ECON-4649C,"COMP.SEM MINERIA DATOSYAPLIC.",0
ECON-4657,"POBREZA Y DESARROLLO ECON",4
ECON-4666,"MACROECONOMIA FINANCIERA",4
