materia,nombre,creditos
PSIC-2314,"PSICOLOGÍA  LENGUAJE (INGLÉS)",3
PSIC-2315,"PENSAMIENTO Y RAZONAMIENTO",3
PSIC-2316,"PSICOLOGIA DE LA PERCEPCION",3
PSIC-2318,"MOTIVACIÓN",3
PSIC-2503,"PSICOLOGÍA SOCIAL CRÍTICA",3
PSIC-2504,"PSICOL SOCIAL EXPERIM",3
PSIC-2600,"ENTREVISTA PSICOLOGICA",3
PSIC-2601,PSICOMETRIA,3
PSIC-2602,"EVALUACION PSICOLÓGICA",3
PSIC-2706,"DISEÑO Y ANÁLISIS DE INV. 1",3
PSIC-2707,"DISEÑO Y ANÁLISIS DE INV. 2",3
PSIC-2708,"DISEÑO Y ANÁLISIS DE INV. 3",3
PSIC-3800,"PSICOLOGIA APLICADA",0
PSIC-3801,"ETICA PROFESIONAL",3
PSIC-3815,"SEM.OPCIÓN GRADO PROFESIONAL",0
PSIC-3830,"RESILIENCIA: NIÑOS Y JOVENES",3
PSIC-3866,"LOGOTERAPIA Y SENTIDO DE VIDA",3
PSIC-3876,"CLÍNICA PSICOANALÍTICA",3
PSIC-3890,"PSICOLOGIA DEPORTE Y EJERCICIO",3
PSIC-3892,"BEYOND CBT",3
PSIC-3915,"GETION Y DLLO.TALENTO HUMANO",3
PSIC-3923,"ABOR. PSICOSOCIAL DIV. SEXUAL",3
PSIC-3925,"PSIC. EDUCATIVA SOCIAL COMPLEJ",3
PSIC-3930,"ATENCION PSICOSOCIAL VICTIMAS",3
PSIC-3932,"EVALUANDO ESTRATEGIAS DE MARCA",3
PSIC-3947,"PSICOLOGÍA AMBIENTAL",3
PSIC-3952,"PSICOLOGÍA ORGANIZACIONAL",3
PSIC-3960,"PSICOLOGÍA DEL DESEMPEÑO",3
PSIC-3961,PSICOPATOLOGIA,4
PSIC-3962,"DESARROLLO PSICOLOGICO",4
PSIC-3968,"PSICOONCOLOGIA CUIDADOS PALIAT",3
PSIC-3982,"DISEÑO DE PROGRAMAS SOCIALES",3
PSIC-3986,"CATEDRA MERCEDES RODRIGO",3
PSIC-3987,"PSICOLOGIA DE LA SALUD",3
PSIC-4100,"DISEÑO DE PROY. DE INVEST I",4
PSIC-4106,"DISEÑO PROY INV II COLOQI",4
PSIC-4107,"DISEÑO PROY INV III COLOQ II",4
PSIC-4108,"DISEÑO PR INVE IV COLOQ III",4
PSIC-6980,"TESIS Y COLOQUIO DOCTORALES",4
PSIC-6981,"TESIS Y COLOQUIO DOCTORALES",8
QUIM-0000,INDUCCION,0
QUIM-1000,"INTRODUCCION A LA QUIMICA",2
QUIM-1001A,"QUIMICA, LEYES Y CONCEPTOS",3
QUIM-1004A,"CLIMA GLOBAL",3
QUIM-1101,"QUIMICA GENERAL",3
QUIM-1103,"QUÍMICA",3
QUIM-1103C,"COMPL. DE QUÍMICA",0
QUIM-1105,"APLICACIONES DE QUÍMICA",3
QUIM-1105C,"COMPL. DE APLICACIONES",0
QUIM-1110,"INTR. TEORIA ATOMOS Y MOLEC",3
QUIM-1212,"QUIMICA INORGANICA II",3
QUIM-1301,"QUIMICA ORGANICA",3
QUIM-1301C,"COMPL  DE QUÍMICA ORGÁNICA",0
QUIM-1303,"FUNDAMENTOS QUÍMICA ORGÁNICA",3
QUIM-1303C,"COMPL FUNDAM DE QUÍM ORGÁNICA",0
QUIM-1310,"QUÍMICA ORGÁNICA I",3
QUIM-1510,"FISICOQUIMICA I",3
QUIM-1618,"FUNDAMENTOS ANÁLISIS QUÍMICO",3
QUIM-1618C,"COMPL FUND ANÁLISIS QUIM",0
QUIM-2001,"PRINCIPIOS DE LA QUIMICA",2
QUIM-2314,"QUIMICA ORGANICA III",3
QUIM-2518,"FUNDAMENTOS DE FISICOQUÍMICA",3
QUIM-2518C,"COMPL FUND FISICOQUÍMICA",0
QUIM-2622,"QUIMICA ANALITICA II",3
QUIM-3221,"NANOCIENCIAS PARA QUÍMICOS",3
QUIM-3516,"QUIMICA COMPUTACIONAL",3
QUIM-4150,"SEMINARIO I",4
QUIM-4300,"SINT. COMPUESTOS HETEROCICLICO",4
QUIM-4413,"BIOQUÍMICA AVANZADA",4
QUIM-4514,"CUÁNTICA Y COMPUTACIONAL AVANZ",4
QUIM-4613,"ANALÍTICA AVANZADA",4
RJUR-5574,"PROCED.TRIBUT. Y SOLUC.CONFLIC",2
RJUR-5584,"DERECHO TRIBUTARIO ESPECIAL II",6
SOCI-1000B,"LA IMAGINACIÓN SOCIOLÓGICA",3
SOCI-1001B,"SOCIOLOGÍA DE LA VIOLENCIA",3
SOCI-1004B,DESIGUALDADES,3
SOCI-1005B,"ESTADO ,MERCADO Y TRANSF SOCIA",3
SPUB-4104,"ECONOMÍA DE LA SALUD",4
SPUB-4106,"PROYECTO DE GRADO I",2
SPUB-4108,"SISTEMAS DE SALUD",4
SPUB-4110,"SALUD Y MEDIO AMBIENTE",4
SPUB-4113,"EPIDEMIOLOGIA Y DEMOGRAFIA",4
SPUB-4506,"SEMINARIO MSP",0
STRA-5412,"REGULACION Y MDOS DE ENERGIA",2
STRA-5417,"PLANEAMIENTO SIST DISTRIBUCION",2
STRA-5419,"GERENCIA PROY.ASEGURAM.CALIDAD",2
STRA-5421,"CONFIABILIDAD SISTEMAS DE POTE",2
